team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         30   52 19887 2830 6370  340 1035 1677 2203  978 3290 1574  609 1246  446 1969  7677  15   0   0
BostonCeltics        24   58 19865 2858 6454  471 1284 1670 2178  918 3309 1631  589 1285  382 1970  7857  18   0   0
CharlotteBobcats     33   49 20023 2960 6643  457 1280 1568 2136  920 3266 1836  638 1174  369 1985  7945  41   0   0
ChicagoBulls         49   33 19782 3046 6663  480 1237 1528 2083  984 3581 1834  638 1263  443 1908  8100  23   0   0
ClevelandCavaliers   50   32 19897 2978 6658  494 1404 1484 2134 1039 3568 1708  622 1130  352 1781  7934  24   0   0
DallasMavericks      67   15 19752 3010 6443  535 1405 1646 2045  919 3435 1633  560 1075  408 1837  8201  33   0   0
DenverNuggets        45   37 19782 3164 6805  484 1440 1827 2449 1001 3559 1920  678 1322  434 1756  8639  42   0   0
DetroitPistons       53   29 19890 2942 6484  449 1305 1539 1986  948 3322 1768  583  961  472 1672  7872  63   0   0
GSWarriors           42   40 19774 3261 7046  700 1965 1515 2113  940 3395 1950  750 1286  463 1933  8737  24   0   0
HoustonRockets       52   30 19872 2906 6528  705 1893 1436 1906  880 3553 1704  583 1115  337 1710  7953  26   0   0
IndianaPacers        35   47 19791 2872 6560  481 1389 1615 2125  989 3429 1680  598 1301  447 1910  7840  45   0   0
LAClippers           40   42 19752 2880 6318  314  903 1769 2245  888 3372 1762  596 1182  472 1858  7843  36   0   0
LALakers             42   40 20032 3103 6665  608 1724 1660 2221  887 3382 1850  600 1233  420 1889  8474  50   0   0
MemphisGrizzlies     22   60 19997 2998 6447  500 1362 1835 2410  865 3240 1680  564 1291  408 1827  8331  20   0   0
MiamiHeat            44   38 19870 2919 6288  528 1539 1393 2019  817 3343 1681  566 1142  440 1749  7759  30   0   0
MilwaukeeBucks       28   54 19868 3121 6714  524 1472 1406 1916  941 3213 1771  587 1194  224 1821  8172  27   0   0
MinnesotaT-wolves    32   50 20012 2997 6502  384 1089 1499 1892  819 3291 1848  532 1232  326 1758  7877  30   0   0
NJNets               41   41 19896 2913 6379  609 1676 1566 2153  823 3347 1962  499 1157  273 1869  8001  34   0   0
NOrleansHornets      39   43 19860 2966 6666  454 1255 1433 1937 1020 3531 1537  522 1118  347 1619  7819  43   0   0
NYKnicks             33   49 20019 2903 6356  474 1370 1714 2396 1032 3548 1533  545 1333  261 1930  7994  44   0   0
OrlandoMagic         40   42 19767 2875 6090  342  962 1679 2393  920 3336 1525  565 1334  416 1903  7771  26   0   0
Philadelphia76ers    35   47 19888 2928 6403  284  823 1637 2135  899 3248 1669  590 1207  390 1667  7777  12   0   0
PhoenixSuns          61   21 19922 3387 6854  784 1964 1476 1827  737 3320 2122  553 1147  394 1659  9034  35   0   0
PortlandTrailBlazers 32   50 19967 2874 6392  426 1232 1543 2006  923 3222 1513  555 1173  380 1931  7717  20   0   0
SacramentoKings      33   49 19819 2941 6532  530 1513 1891 2473  797 3193 1665  671 1153  265 1792  8303  29   0   0
SanAntonioSpurs      58   24 19791 2999 6328  595 1561 1486 1980  762 3337 1814  587 1088  417 1588  8079  24   0   0
SeattleSupersonics   31   51 19828 3047 6628  525 1451 1511 1911  928 3250 1695  631 1189  301 1800  8130  17   0   0
TorontoRaptors       47   35 19736 3032 6547  531 1464 1562 1983  755 3234 1823  581 1060  321 1672  8157  14   0   0
UtahJazz             51   31 19822 3069 6471  354 1056 1830 2462 1030 3486 2024  577 1236  339 2067  8322  18   0   0
WashingtonWizards    41   41 19831 3070 6818  561 1612 1855 2425  999 3378 1659  635 1085  375 1821  8556  27   0   0
