team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         60   22 19745 3121 6695  818 2150 1349 1735  715 3326 2110  741 1108  379 1456  8409  20   0   0
BostonCeltics        40   42 19898 3193 7210  660 2021 1266 1678  911 3596 2010  674 1089  294 1738  8312  14   0   0
CharlotteHornets     33   49 19917 2913 6932  498 1566 1397 1867  820 3613 1654  499  916  448 1494  7721  32   0   0
ChicagoBulls         50   32 19900 3001 6797  645 1825 1618 2067  959 3751 1781  514 1080  476 1495  8265  23   0   0
ClevelandCavaliers   53   29 19799 3082 6745  820 2242 1446 1927  920 3534 1809  597 1121  335 1501  8430  25   0   0
DallasMavericks      50   32 19901 3255 7036  732 2082 1386 1843  858 3466 1846  662 1029  371 1644  8628  29   0   0
DenverNuggets        30   52 19897 3099 7158  660 2032 1462 1991 1012 3664 1788  641 1133  368 1883  8320  20   0   0
DetroitPistons       32   50 19838 3041 7037  703 2043 1292 1838 1050 3680 1771  623 1037  383 1559  8077  22   0   0
GSWarriors           67   15 19730 3410 7137  883 2217 1313 1709  853 3666 2247  763 1156  498 1628  9016  23   0   0
HoustonRockets       56   26 19822 3032 6830  933 2679 1525 2133  956 3580 1819  777 1307  407 1803  8522  40   0   0
IndianaPacers        38   44 19867 2998 6824  612 1740 1373 1817  857 3679 1757  505 1093  375 1742  7981  25   1   0
LAClippers           56   26 19753 3228 6830  827 2202 1468 2067  784 3495 2031  641  967  408 1749  8751  60   0   0
LALakers             21   61 19927 3054 7020  532 1546 1433 1935  952 3599 1715  578 1035  366 1741  8073  14   0   0
MemphisGrizzlies     55   27 19911 3097 6764  423 1248 1445 1869  856 3490 1777  700 1064  347 1567  8062  31   0   0
MiamiHeat            37   45 19732 2885 6330  556 1659 1438 1940  746 3206 1625  644 1139  371 1636  7764  28   0   0
MilwaukeeBucks       41   41 19938 3083 6721  546 1500 1312 1734  876 3450 1932  789 1309  403 1814  8024  37   0   0
MinnesotaT-wolves    16   66 19830 2986 6821  406 1223 1638 2110  951 3357 1771  666 1172  327 1571  8016  12   0   0
BrooklynNets         38   44 19923 3065 6797  540 1630 1359 1816  846 3472 1714  575 1097  340 1577  8029  15   0   0
NOrleansPelicans     45   37 19794 3108 6793  586 1583 1345 1790  941 3563 1806  553 1033  510 1530  8147  15   0   0
NYKnicks             17   65 19858 2882 6726  560 1614 1211 1575  867 3310 1746  575 1129  382 1768  7535  21   0   0
OrlandoMagic         25   57 19756 3076 6792  554 1598 1141 1565  822 3429 1692  647 1175  314 1714  7847  15   0   0
Philadelphia76ers    18   64 19796 2759 6764  688 2152 1320 1952  978 3512 1683  789 1386  487 1774  7526  14   0   0
PhoenixSuns          39   43 19877 3177 7034  698 2045 1343 1767  897 3539 1658  700 1192  385 1742  8395  55   0   0
PortlandTrailBlazers 51   31 19871 3175 7049  807 2231 1272 1589  879 3760 1799  526 1087  371 1494  8429  27   0   0
SacramentoKings      29   53 19874 3010 6617  461 1350 1829 2400  895 3623 1667  550 1280  324 1696  8310  40   0   0
SanAntonioSpurs      55   27 19966 3208 6854  677 1847 1368 1754  806 3579 2000  657 1105  443 1564  8461   9   0   0
OklahomaCityThunder  45   37 19853 3184 7119  632 1864 1524 2020 1053 3896 1681  599 1152  452 1829  8524  46   0   0
TorontoRaptors       49   33 19863 3107 6824  726 2060 1585 2012  880 3401 1701  614  998  357 1709  8525  34   0   0
UtahJazz             38   44 19731 2900 6492  610 1781 1391 1929  987 3604 1632  623 1166  489 1583  7801  15   0   0
WashingtonWizards    46   36 19981 3139 6790  497 1382 1305 1758  864 3662 1968  603 1184  377 1709  8080  20   0   0
