team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         53   29 19866 3181 6801  524 1455 1452 1914  969 3420 1789  590  941  413 1631  8338  26   0   0
BostonCeltics        50   32 19780 3039 6293  499 1433 1559 2090  716 3166 1931  701 1153  402 1816  8136  54   0   0
CharlotteBobcats     44   38 19887 2858 6306  460 1331 1637 2180  858 3348 1658  632 1220  447 1597  7813  32   0   0
ChicagoBulls         41   41 19900 3081 6825  352 1066 1479 1962  937 3654 1704  531 1122  477 1648  7993  31   0   0
ClevelandCavaliers   61   21 19786 3101 6391  602 1582 1569 2180  792 3484 1835  564 1070  424 1591  8373  32   0   0
DallasMavericks      55   27 19878 3140 6760  558 1498 1526 1870  834 3420 1917  624 1015  449 1563  8364  28   0   0
DenverNuggets        53   29 19790 3124 6678  544 1517 1937 2508  889 3394 1719  683 1108  419 1844  8729  38   0   0
DetroitPistons       27   55 19765 2940 6602  374 1190 1455 1998 1053 3295 1591  596 1038  313 1822  7709  30   0   0
GSWarriors           26   56 19721 3329 7094  633 1687 1631 2085  752 3149 1839  761 1171  340 1886  8922  21   0   0
HoustonRockets       42   40 19917 3094 6923  646 1838 1561 2022  971 3442 1790  583 1132  318 1712  8395  18   0   0
IndianaPacers        32   50 19686 3020 6823  659 1896 1564 2019  785 3403 1730  585 1168  440 1848  8263  20   0   0
LAClippers           29   53 19725 3003 6602  483 1457 1362 1866  927 3428 1810  533 1225  468 1581  7851  28   0   0
LALakers             57   25 19837 3144 6875  532 1562 1519 1985  973 3635 1731  611 1066  400 1592  8339  45   0   0
MemphisGrizzlies     40   42 19906 3223 6875  344 1020 1614 2202 1070 3566 1543  645 1187  399 1656  8404  22   0   0
MiamiHeat            47   35 19880 2984 6518  494 1426 1452 1931  875 3428 1548  606 1011  457 1710  7914  28   0   0
MilwaukeeBucks       46   36 19992 3050 6997  645 1813 1264 1675  965 3525 1740  580 1041  385 1823  8009  15   0   0
MinnesotaT-wolves    15   67 19792 3106 6922  403 1181 1436 1926  960 3517 1626  597 1280  308 1699  8051   9   0   0
NJNets               12   70 19789 2813 6552  377 1185 1572 2015  896 3253 1540  571 1108  394 1643  7575   8   0   0
NOrleansHornets      37   45 19821 3178 6841  571 1572 1293 1661  851 3301 1829  625 1049  299 1606  8220  13   0   0
NYKnicks             29   53 19878 3127 6876  743 2145 1376 1759  836 3312 1772  587 1101  303 1638  8373  11   0   0
OrlandoMagic         59   23 19723 3005 6394  841 2241 1575 2176  810 3544 1615  512 1117  455 1629  8426  44   0   0
Philadelphia76ers    27   55 19807 3087 6705  474 1382 1366 1808  940 3361 1723  666 1135  439 1677  8014  12   0   0
PhoenixSuns          54   28 19728 3339 6789  730 1770 1631 2117  910 3527 1912  479 1157  418 1713  9039  29   0   0
PortlandTrailBlazers 50   32 19854 2974 6453  491 1388 1606 2033  913 3296 1674  523  945  348 1715  8045  24   0   0
SacramentoKings      25   57 19877 3144 6894  482 1383 1430 1969  977 3494 1679  565 1165  366 1827  8200  21   0   0
SanAntonioSpurs      50   32 19781 3150 6659  554 1547 1458 1969  887 3508 1829  515 1062  380 1669  8312  16   0   0
OklahomaCityThunder  50   32 19797 3063 6629  418 1229 1778 2210  960 3567 1639  654 1164  481 1743  8322  13   0   0
TorontoRaptors       40   42 19778 3199 6631  518 1397 1618 2118  806 3313 1804  469 1057  384 1820  8534  22   0   0
UtahJazz             53   29 19760 3227 6575  439 1207 1654 2233  872 3460 2188  675 1196  399 1859  8547  20   0   0
WashingtonWizards    26   56 19834 3007 6699  432 1225 1444 1895  966 3424 1557  491 1158  421 1752  7890  20   0   0
