team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         44   38 19734 2971 6429  502 1427 1346 1728  762 3222 1802  497 1048  341 1554  7790  30   0   0
BostonCeltics        56   26 19793 3023 6219  408 1119 1459 1895  639 3181 1922  676 1116  346 1678  7913  47   0   0
CharlotteBobcats     34   48 19828 2873 6365  393 1203 1511 1999  848 3292 1728  524 1123  436 1637  7650  44   0   0
ChicagoBulls         62   20 19856 3042 6587  511 1415 1492 2008  967 3621 1827  592 1104  468 1639  8087  23   0   0
ClevelandCavaliers   19   63 19751 2886 6644  509 1489 1546 2075  856 3303 1720  544 1125  341 1648  7827  26   0   0
DallasMavericks      57   25 19703 3069 6464  645 1768 1437 1850  780 3398 1954  557 1107  352 1575  8220  34   0   0
DenverNuggets        50   32 19714 3145 6613  662 1705 1859 2429  791 3443 1813  605 1130  353 1719  8811  53   0   0
DetroitPistons       30   52 19880 3056 6647  472 1256 1367 1854  931 3167 1730  595 1001  328 1629  7951  34   0   0
GSWarriors           36   46 19854 3251 7047  685 1749 1290 1695  955 3325 1847  737 1157  406 1806  8477  21   0   0
HoustonRockets       43   39 19896 3170 6975  677 1843 1668 2083  962 3511 1955  581 1048  371 1641  8685  24   0   0
IndianaPacers        37   45 19788 3003 6787  585 1653 1592 2035  914 3571 1611  584 1210  457 1782  8183  25   0   0
LAClippers           32   50 19865 3015 6594  513 1519 1546 2187  955 3456 1813  585 1273  402 1733  8089  46   0   0
LALakers             57   25 19837 3128 6757  524 1487 1541 1979  989 3605 1801  602 1031  422 1555  8321  50   0   0
MemphisGrizzlies     46   36 19891 3200 6801  309  926 1486 1981  970 3361 1691  771 1101  441 1705  8195  23   0   0
MiamiHeat            58   24 19798 3031 6301  547 1479 1760 2288  790 3456 1639  544 1084  430 1674  8369  46   0   0
MilwaukeeBucks       35   47 19846 2814 6544  483 1414 1423 1881  862 3342 1545  617 1026  399 1682  7534  19   0   0
MinnesotaT-wolves    17   65 19791 3090 7014  589 1565 1519 1977 1085 3641 1650  592 1356  422 1825  8288  27   0   0
NJNets               24   58 20002 2918 6637  459 1337 1427 1881  909 3348 1723  457 1069  386 1807  7722  10   0   0
NOrleansHornets      46   36 19830 2944 6416  444 1232 1452 1897  824 3292 1691  624 1001  360 1719  7784  26   0   0
NYKnicks             42   40 19788 3140 6867  765 2081 1689 2087  847 3316 1757  625 1094  474 1743  8734  45   0   0
OrlandoMagic         52   30 19833 2956 6409  770 2101 1453 2101  863 3541 1636  548 1180  384 1640  8135  45   0   0
Philadelphia76ers    41   41 19943 3125 6776  443 1248 1426 1851  850 3428 1861  621 1001  356 1592  8119  14   0   0
PhoenixSuns          40   42 20011 3219 6844  701 1857 1472 1939  821 3299 1945  545 1116  358 1666  8611  38   0   0
PortlandTrailBlazers 48   34 19827 2951 6599  518 1503 1476 1835  996 3226 1736  660 1018  358 1585  7896  23   0   0
SacramentoKings      24   58 19885 3134 6979  428 1277 1455 1981 1071 3596 1675  608 1282  391 1805  8151  38   0   0
SanAntonioSpurs      61   21 19789 3148 6628  685 1727 1521 1984  829 3433 1836  602 1054  372 1556  8502  13   0   0
OklahomaCityThunder  55   27 20013 3066 6609  487 1404 1977 2401  903 3507 1672  654 1104  487 1836  8596  33   0   0
TorontoRaptors       22   60 19791 3144 6755  345 1091 1491 1976  963 3305 1795  581 1152  349 1807  8124  20   0   0
UtahJazz             39   43 19881 3064 6589  435 1255 1590 2061  898 3235 1921  629 1112  485 1865  8153  32   0   0
WashingtonWizards    23   59 19936 3048 6888  392 1182 1489 1999 1013 3387 1592  665 1209  502 1850  7977  32   0   0
